"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 04-Jul-2024"
"VIJAYA","1,003.15","1,026.00","993.15","1,003.15","1,022.90","-","19.75","1.97","2,28,032","23.14","1,275.00","740.00","5.84","29.63"
"INOXWIND","177.00","181.00","176.00","176.64","180.06","-","3.42","1.94","84,82,468","152.19","261.90","130.32","-2.42","14.63"
"BALKRISIND","2,555.50","2,622.20","2,550.10","2,550.30","2,599.90","-","49.60","1.94","3,59,789","93.55","3,375.00","2,152.05","5.52","-17.15"
"HINDPETRO","438.80","446.55","436.15","436.60","445.00","-","8.40","1.92","43,18,402","190.14","457.15","287.55","9.35","34.83"
"METROPOLIS","1,739.90","1,789.90","1,735.10","1,737.90","1,771.00","-","33.10","1.90","90,492","16.02","2,318.30","1,315.00","4.66","-15.01"
"ABFRL","76.70","79.10","76.09","76.56","78.01","-","1.45","1.89","1,68,38,260","131.47","364.40","70.55","2.03","-76.56"
"SUNDRMFAST","1,064.90","1,075.00","1,050.00","1,055.10","1,075.00","-","19.90","1.89","1,01,846","10.82","1,505.95","831.15","7.57","-23.88"
"PHOENIXLTD","1,520.00","1,550.00","1,515.20","1,512.50","1,541.00","-","28.50","1.88","4,15,226","63.83","2,068.50","1,338.05","-2.91","-58.66"
"WELSPUNLIV","142.15","145.00","141.31","141.62","144.20","-","2.58","1.82","51,10,387","73.20","212.95","104.80","7.88","-4.31"
"BAJFINANCE","922.00","940.70","919.00","910.15","926.00","-","15.85","1.74","1,06,13,046","987.14","978.80","642.50","-89.70","-86.98"
"BEML","4,500.50","4,655.00","4,488.00","4,453.10","4,530.00","-","76.90","1.73","17,14,888","782.82","5,488.00","2,350.00","3.45","-2.81"
"BIOCON","374.45","381.00","372.70","374.45","380.20","-","6.25","1.67","67,87,795","256.72","404.70","291.00","12.98","5.19"
"ICICIPRULI","645.45","659.40","645.45","639.90","650.50","-","10.60","1.66","26,29,729","171.15","796.80","525.80","1.14","2.76"
"BHARATFORG","1,305.00","1,318.00","1,291.20","1,298.70","1,313.80","-","21.10","1.63","10,39,888","135.85","1,771.20","919.10","3.45","-21.30"
"KIMS","673.75","700.00","673.75","673.75","684.75","-","11.00","1.63","11,89,358","81.69","708.00","412.00","2.63","-67.74"
"GMRAIRPORT","88.56","90.06","88.36","88.47","89.90","-","1.43","1.62","1,71,33,306","153.45","103.75","67.75","7.05","-"
"RADICO","2,587.00","2,673.00","2,587.00","2,581.40","2,622.00","-","40.60","1.57","2,71,805","71.61","2,786.90","1,628.00","-3.40","52.55"
"LUPIN","1,962.00","1,996.00","1,957.00","1,954.80","1,985.00","-","30.20","1.54","9,34,950","185.47","2,402.90","1,626.00","1.90","12.60"
"RAMCOCEM","1,079.00","1,095.90","1,072.90","1,075.70","1,092.00","-","16.30","1.52","5,21,693","56.75","1,101.90","765.00","9.31","33.33"
"FORTIS","798.00","809.40","795.05","794.05","806.00","-","11.95","1.50","10,71,405","86.11","809.40","453.00","9.23","71.48"
"MPHASIS","2,902.50","2,927.90","2,882.90","2,882.80","2,926.10","-","43.30","1.50","2,21,365","64.47","3,237.95","2,044.55","16.81","13.20"
"GODREJPROP","2,267.90","2,314.00","2,263.40","2,266.10","2,299.80","-","33.70","1.49","6,06,090","139.09","3,402.70","1,900.00","1.78","-30.31"
"NAVINFLUOR","4,875.70","4,949.00","4,840.00","4,875.50","4,940.00","-","71.50","1.47","49,601","24.30","4,995.00","3,160.40","11.39","34.82"
"DRREDDY","1,303.00","1,313.00","1,287.20","1,291.30","1,310.00","-","18.70","1.45","14,66,009","190.41","1,421.49","1,020.00","4.43","-79.82"
"CGPOWER","671.50","679.90","669.25","667.45","676.80","-","9.35","1.40","20,11,272","135.67","874.70","517.70","-1.93","-6.36"
"JPPOWER","18.67","19.09","18.52","18.67","18.93","-","0.26","1.39","7,48,04,403","141.16","23.77","12.36","21.01","-0.42"
"LTF","202.75","209.85","202.10","203.29","206.10","-","2.81","1.38","1,11,36,321","230.05","209.85","129.20","17.36","9.23"
"CROMPTON","351.25","356.30","350.15","350.25","355.00","-","4.75","1.36","15,64,163","55.45","484.00","301.00","2.17","-13.11"
"LLOYDSME","1,540.70","1,564.70","1,530.80","1,531.20","1,552.00","-","20.80","1.36","3,37,045","52.32","1,612.00","674.80","3.58","100.45"
"TRIDENT","30.99","31.48","30.76","30.83","31.25","-","0.42","1.36","81,26,451","25.32","41.45","23.11","0.71","-18.41"
"ALKEM","4,845.00","4,898.90","4,824.30","4,822.00","4,887.00","-","65.00","1.35","94,037","45.83","6,439.90","4,491.65","0.37","-1.91"
"TRITURBINE","642.00","649.90","628.55","637.05","645.60","-","8.55","1.34","21,88,053","140.36","885.00","460.30","9.22","0.01"
"INFY","1,625.00","1,643.40","1,612.30","1,618.70","1,639.70","-","21.00","1.30","44,11,273","719.68","2,006.45","1,307.00","5.77","-0.60"
"MAHSEAMLES","737.70","758.00","734.30","737.45","747.05","-","9.60","1.30","3,15,067","23.59","814.30","566.50","11.69","14.78"
"JYOTICNC","1,025.00","1,051.80","1,025.00","1,023.00","1,036.00","-","13.00","1.27","3,88,483","40.20","1,504.30","750.10","-20.92","-22.57"
"VBL","451.85","456.70","449.30","450.70","456.40","-","5.70","1.26","41,23,037","187.43","681.12","419.55","-2.49","-71.82"
"360ONE","1,226.60","1,253.90","1,192.30","1,226.60","1,242.00","-","15.40","1.26","13,68,232","168.65","1,318.00","790.50","21.59","34.30"
"HAL","4,955.00","5,020.00","4,943.80","4,931.20","4,992.00","-","60.80","1.23","17,00,709","849.10","5,674.75","3,046.05","0.67","-9.46"
"J&KBANK","113.00","114.50","112.20","112.73","114.10","-","1.37","1.22","32,24,657","36.63","123.70","86.61","8.68","0.24"
"HINDUNILVR","2,318.00","2,341.40","2,310.30","2,313.40","2,341.30","-","27.90","1.21","12,42,346","289.57","3,035.00","2,136.00","-1.07","-6.28"
"LTTS","4,331.60","4,407.00","4,330.00","4,331.60","4,383.80","-","52.20","1.21","65,617","28.69","6,000.00","3,966.00","0.61","-13.37"
"ICICIBANK","1,427.00","1,444.40","1,421.10","1,425.90","1,443.00","-","17.10","1.20","50,66,503","726.29","1,471.60","1,153.00","0.82","17.02"
"MUTHOOTFIN","2,640.00","2,670.00","2,616.10","2,635.10","2,666.00","-","30.90","1.17","2,84,105","75.12","2,670.00","1,664.60","17.19","47.59"
"ARE&M","961.90","984.00","959.20","958.95","970.00","-","11.05","1.15","6,64,783","64.66","1,745.00","832.30","-3.03","-42.66"
"SUMICHEM","527.85","539.80","521.85","527.85","533.90","-","6.05","1.15","4,09,519","21.86","628.30","446.20","6.95","8.74"
"MAZDOCK","3,320.00","3,369.00","3,308.20","3,287.60","3,325.00","-","37.40","1.14","24,59,626","821.83","3,775.00","1,918.05","-2.45","-40.40"
"AEGISLOG","750.00","757.65","745.20","747.60","756.00","-","8.40","1.12","4,14,989","31.20","1,037.00","609.85","-5.68","-15.35"
"GRSE","2,955.00","3,038.00","2,955.00","2,942.10","2,974.50","-","32.40","1.10","14,17,707","425.40","3,538.40","1,184.90","-11.40","11.43"
"PAGEIND","48,345.00","49,125.00","48,010.00","48,145.00","48,670.00","-","525.00","1.09","52,564","255.71","50,590.00","38,300.00","5.10","25.89"
"TORNTPHARM","3,335.90","3,388.90","3,330.00","3,334.10","3,369.40","-","35.30","1.06","4,23,431","142.63","3,590.70","2,799.85","7.36","17.34"
"RAINBOW","1,596.90","1,640.00","1,568.70","1,586.10","1,602.90","-","16.80","1.06","3,54,799","56.98","1,709.60","1,079.10","14.90","21.48"
"TECHNOE","1,550.00","1,594.00","1,545.10","1,558.70","1,575.00","-","16.30","1.05","2,17,928","34.31","1,822.00","785.15","2.11","-"
"SAGILITY","42.55","43.00","41.78","42.38","42.82","-","0.44","1.04","2,55,70,487","108.27","56.40","27.02","10.24","-"
"POWERINDIA","19,915.00","20,245.00","19,740.00","19,760.00","19,960.00","-","200.00","1.01","1,11,545","222.68","20,699.00","8,801.00","0.83","45.20"
"BAJAJHFL","122.49","124.00","121.90","121.10","122.30","-","1.20","0.99","1,06,74,659","130.97","188.50","103.10","0.53","-"
"PTCIL","14,755.00","14,981.00","14,700.00","14,755.00","14,898.00","-","143.00","0.97","10,112","15.01","17,995.00","9,756.30","0.96","-0.66"
"ASAHIINDIA","832.10","854.80","820.20","835.10","843.00","-","7.90","0.95","11,64,317","98.17","854.80","576.80","15.99","23.14"
"SONATSOFTW","407.50","411.70","404.80","406.15","410.00","-","3.85","0.95","5,69,668","23.30","763.70","286.40","-0.45","-36.61"
"BBTC","1,994.00","2,009.00","1,972.50","1,979.10","1,998.00","-","18.90","0.95","24,127","4.80","2,975.00","1,607.05","-1.02","-3.71"
"BHEL","259.00","263.35","258.15","257.60","260.00","-","2.40","0.93","65,47,713","170.90","335.35","176.00","2.52","-16.36"
"SWANENERGY","441.00","452.10","440.80","441.40","445.50","-","4.10","0.93","14,05,058","62.73","809.80","362.20","-0.65","-28.96"
"AUBANK","814.90","820.90","807.00","811.85","818.30","-","7.45","0.92","8,80,959","71.90","841.00","478.35","13.00","21.69"
"WIPRO","268.30","271.40","267.50","267.05","269.45","-","2.40","0.90","71,41,779","192.23","324.60","228.00","9.39","-49.11"
"TIINDIA","2,975.00","2,994.90","2,938.00","2,952.80","2,979.10","-","26.30","0.89","2,52,419","74.63","4,810.80","2,407.10","-2.92","-30.94"
"PRESTIGE","1,604.80","1,619.00","1,582.00","1,600.80","1,615.10","-","14.30","0.89","2,80,539","45.00","1,972.00","1,048.05","1.99","-10.16"
"CYIENT","1,297.00","1,301.40","1,285.30","1,297.30","1,294.50","-","11.20","0.87","2,00,390","25.89","2,157.45","1,084.05","-4.15","-29.19"
"ULTRACEMCO","12,400.00","12,542.00","12,341.00","12,398.00","12,505.00","-","107.00","0.86","1,91,516","238.07","12,575.00","10,047.85","13.35","6.34"
"SIGNATURE","1,237.00","1,258.00","1,235.10","1,236.90","1,247.50","-","10.60","0.86","2,71,289","33.86","1,647.00","1,010.80","1.24","-15.87"
"CARBORUNIV","991.50","1,000.95","984.10","991.50","1,000.00","-","8.50","0.86","68,295","6.78","1,790.00","809.10","3.77","-41.61"
"POONAWALLA","468.00","483.40","467.00","466.40","470.35","-","3.95","0.85","41,80,934","199.20","483.40","267.20","17.65","12.71"
"OFSS","9,089.00","9,124.00","8,960.00","9,030.00","9,107.00","-","77.00","0.85","96,079","87.06","13,220.00","7,038.00","5.12","-12.72"
"BAYERCROP","6,388.00","6,474.00","6,376.50","6,405.50","6,460.00","-","54.50","0.85","45,583","29.32","7,196.85","4,217.45","14.93","-2.03"
"DIXON","15,025.00","15,282.00","14,929.00","15,074.00","15,200.00","-","126.00","0.84","4,66,319","707.74","19,148.90","10,620.00","1.64","20.09"
"ATUL","7,599.00","7,715.00","7,551.50","7,555.50","7,619.00","-","63.50","0.84","57,600","44.05","8,180.00","4,752.00","6.52","13.22"
"HCLTECH","1,715.00","1,729.00","1,706.20","1,711.90","1,725.90","-","14.00","0.82","7,68,500","132.11","2,012.20","1,302.75","6.14","13.37"
"JUBLINGREA","774.00","791.00","773.25","779.60","786.00","-","6.40","0.82","4,97,781","39.03","885.00","516.85","7.79","45.55"
"KAJARIACER","1,140.60","1,152.10","1,138.30","1,140.60","1,150.00","-","9.40","0.82","2,30,786","26.40","1,578.70","758.70","12.30","-24.02"
"EMAMILTD","559.00","564.35","556.80","558.90","563.50","-","4.60","0.82","3,06,711","17.19","860.00","507.70","-5.28","-23.86"
"AMBUJACEM","588.75","601.75","588.75","588.75","593.50","-","4.75","0.81","28,59,715","170.15","699.40","453.05","7.84","-12.66"
"UNIONBANK","151.97","153.70","151.36","151.59","152.82","-","1.23","0.81","90,90,399","138.82","158.65","100.81","-0.04","12.62"
"TECHM","1,645.00","1,663.90","1,640.50","1,671.90","1,655.00","-","13.10","0.80","13,10,544","216.80","1,807.70","1,209.40","6.33","13.44"
"IPCALAB","1,415.70","1,431.70","1,403.50","1,415.70","1,427.00","-","11.30","0.80","1,04,201","14.78","1,755.90","1,128.00","1.93","20.80"
"ABCAPITAL","272.80","277.35","272.75","272.60","274.75","-","2.15","0.79","29,39,875","80.86","282.65","149.01","22.20","15.87"
"JUSTDIAL","930.00","952.65","924.55","926.85","934.05","-","7.20","0.78","4,62,681","43.45","1,395.00","751.80","5.21","-9.70"
"FSL","368.55","373.05","368.00","368.10","370.95","-","2.85","0.77","6,68,612","24.78","422.30","223.05","-2.39","59.82"
"KIRLOSENG","853.00","865.00","841.90","847.65","854.05","-","6.40","0.76","4,20,158","35.67","1,420.00","544.40","-2.26","-38.40"
"STARHEALTH","418.85","425.15","416.55","418.90","422.05","-","3.15","0.75","8,24,319","34.77","647.00","327.30","-9.39","-28.06"
"SYNGENE","641.00","646.50","640.00","640.35","645.00","-","4.65","0.73","1,65,697","10.67","960.60","599.55","-0.49","-11.24"
"KALYANKJIL","583.05","587.65","578.40","582.85","587.00","-","4.15","0.71","24,63,946","143.98","795.40","399.40","5.20","19.39"
"PETRONET","298.50","301.60","294.80","300.90","300.00","-","2.10","0.70","35,13,522","105.06","384.20","269.60","-2.50","-9.74"
"RPOWER","64.55","67.00","63.60","65.54","66.00","-","0.46","0.70","1,36,02,845","89.63","76.49","25.75","-","-"
"DABUR","493.00","497.40","491.60","491.60","495.00","-","3.40","0.69","28,57,925","141.46","672.00","433.30","0.66","-18.29"
"RELIANCE","1,524.00","1,530.00","1,517.20","1,517.80","1,528.10","-","10.30","0.68","66,03,501","1,006.09","1,608.80","1,114.85","7.29","-50.86"
"GICRE","378.00","381.75","377.00","377.45","380.00","-","2.55","0.68","3,71,809","14.11","525.50","347.00","-4.74","-1.44"
"CAPLIPOINT","2,010.90","2,020.20","1,998.90","2,002.40","2,016.00","-","13.60","0.68","53,263","10.71","2,641.00","1,408.00","-6.53","40.99"
"CENTURYPLY","733.85","745.00","730.10","735.60","740.55","-","4.95","0.67","21,930","1.61","935.00","631.00","-6.68","1.57"
"INDIANB","647.05","653.80","646.85","645.95","650.15","-","4.20","0.65","13,13,266","85.40","658.50","473.90","2.66","20.12"
"ZENTEC","1,940.00","1,991.10","1,920.00","1,925.40","1,938.00","-","12.60","0.65","3,98,119","77.66","2,627.00","945.35","-13.32","34.25"
"DBREALTY","231.00","234.45","227.50","229.25","230.74","-","1.49","0.65","33,23,202","76.79","244.90","115.11","10.00","14.71"
"DIVISLAB","6,880.00","6,945.00","6,870.00","6,876.00","6,920.00","-","44.00","0.64","2,43,498","168.22","6,945.00","4,395.30","4.36","51.99"
"BATAINDIA","1,233.00","1,243.20","1,232.30","1,231.10","1,239.00","-","7.90","0.64","64,545","7.99","1,633.00","1,140.30","1.33","-17.94"
"HEROMOTOCO","4,325.00","4,374.70","4,307.10","4,310.60","4,337.80","-","27.20","0.63","4,37,195","190.02","6,246.25","3,344.00","3.44","-21.83"
"3MINDIA","28,800.00","29,445.00","28,720.00","28,720.00","28,900.00","-","180.00","0.63","8,344","24.29","40,642.95","25,718.15","-2.53","-26.77"
"TBOTEK","1,425.50","1,439.80","1,415.30","1,415.50","1,424.00","-","8.50","0.60","1,33,954","19.09","2,001.00","996.00","4.50","-23.83"
"HINDALCO","692.00","700.75","689.40","692.85","696.95","-","4.10","0.59","26,80,991","186.30","772.65","546.45","10.00","1.10"
"BAJAJFINSV","1,993.00","2,032.90","1,985.00","1,980.70","1,992.10","-","11.40","0.58","15,09,178","302.60","2,135.00","1,523.25","1.96","25.77"
"SUZLON","65.50","65.70","64.92","65.27","65.65","-","0.38","0.58","3,22,54,269","210.72","86.04","46.15","-1.78","21.28"
"PPLPHARMA","199.85","204.72","197.25","202.43","203.60","-","1.17","0.58","59,34,188","120.36","307.90","145.25","-1.11","29.42"
"ELECON","644.15","650.95","640.45","642.25","646.00","-","3.75","0.58","2,82,213","18.22","739.10","376.95","-8.41","-52.01"
"BAJAJ-AUTO","8,382.00","8,450.00","8,364.50","8,382.50","8,430.00","-","47.50","0.57","1,83,720","154.63","12,774.00","7,089.35","-1.52","-10.86"
"NESTLEIND","2,384.90","2,397.00","2,367.10","2,388.40","2,392.00","-","13.60","0.57","3,95,057","94.04","2,778.00","2,110.00","-0.20","-5.99"
"GRAVITA","1,846.30","1,871.00","1,840.80","1,844.50","1,855.00","-","10.50","0.57","1,82,289","33.79","2,700.00","1,310.10","0.20","27.59"
"CHOLAHLDNG","2,095.00","2,117.40","2,040.00","2,082.50","2,094.30","-","11.80","0.57","1,15,784","24.12","2,231.60","1,357.35","14.76","44.23"
"TCS","3,408.00","3,427.00","3,390.10","3,400.80","3,420.00","-","19.20","0.56","11,09,320","378.71","4,592.25","3,056.05","1.15","-14.95"
"NLCINDIA","226.80","228.00","226.01","226.75","228.00","-","1.25","0.55","6,06,482","13.77","311.80","186.03","-4.34","-13.29"
"CUMMINSIND","3,332.90","3,368.80","3,317.60","3,332.90","3,351.00","-","18.10","0.54","2,30,777","77.08","4,154.00","2,580.00","-0.15","-17.77"
"SUNDARMFIN","5,165.00","5,190.00","5,123.00","5,140.00","5,168.00","-","28.00","0.54","22,233","11.48","5,535.85","3,732.90","2.03","12.40"
"LEMONTREE","138.50","139.20","137.50","137.95","138.70","-","0.75","0.54","7,92,120","10.96","162.40","112.29","-0.67","-5.30"
"SHRIRAMFIN","675.95","684.40","670.00","675.40","679.00","-","3.60","0.53","38,43,226","260.31","730.45","493.35","5.45","-76.14"
"RBLBANK","252.99","256.41","249.47","252.66","254.00","-","1.34","0.53","72,20,921","182.88","270.30","146.10","19.47","-4.63"
"PNB","110.40","111.10","109.86","110.23","110.80","-","0.57","0.52","1,40,99,494","155.93","128.80","85.46","1.20","-8.79"
"DLF","830.00","840.00","826.00","829.70","834.00","-","4.30","0.52","12,18,416","101.56","929.00","601.20","4.06","-0.31"
"SOBHA","1,510.00","1,524.00","1,490.40","1,512.20","1,520.00","-","7.80","0.52","2,58,162","39.00","2,155.35","1,075.30","0.24","-25.46"
"SBIN","808.75","813.85","804.10","807.10","811.25","-","4.15","0.51","43,19,538","349.22","899.00","680.00","0.66","-3.27"
"CANFINHOME","817.00","821.00","810.20","815.10","819.25","-","4.15","0.51","3,35,965","27.43","951.75","558.50","4.45","-8.23"
"JUBLFOOD","706.95","711.00","700.80","706.95","710.40","-","3.45","0.49","5,54,527","39.14","796.75","548.75","3.48","25.21"
"PAYTM","930.30","934.95","922.00","925.30","929.70","-","4.40","0.48","19,92,624","185.11","1,062.95","411.00","-0.93","125.69"
"TATAPOWER","399.00","403.55","398.50","399.90","401.80","-","1.90","0.48","34,32,678","137.56","494.85","326.35","1.87","-8.08"
"DATAPATTNS","3,000.00","3,025.50","2,971.60","2,966.80","2,981.00","-","14.20","0.48","3,55,175","106.35","3,655.00","1,351.15","-0.12","-6.23"
"ONGC","245.20","245.45","242.51","244.05","245.20","-","1.15","0.47","77,17,259","188.63","345.00","205.00","3.02","-11.48"
"SOLARINDS","16,890.00","17,005.00","16,750.00","16,822.00","16,900.00","-","78.00","0.46","80,651","136.10","17,820.00","8,482.50","0.28","38.50"
"BDL","1,989.00","2,013.50","1,970.80","1,965.30","1,974.00","-","8.70","0.44","37,62,094","749.39","2,096.60","890.00","1.55","17.44"
"AXISBANK","1,174.00","1,179.50","1,162.00","1,171.10","1,175.20","-","5.10","0.44","39,26,186","460.07","1,339.65","933.50","0.56","-8.06"
"SJVN","98.30","99.40","97.50","98.28","98.70","-","0.42","0.43","47,87,509","47.04","159.65","80.54","-0.26","-29.88"
"ACC","1,956.50","1,991.00","1,946.60","1,956.50","1,964.70","-","8.20","0.42","5,13,194","101.04","2,798.00","1,778.45","4.69","-27.90"
"M&M","3,161.10","3,177.00","3,134.10","3,174.40","3,162.00","-","12.90","0.41","9,68,006","305.43","3,270.95","2,425.00","3.57","8.95"
"BLS","362.05","367.45","360.50","363.95","365.45","-","1.50","0.41","9,88,553","35.93","521.80","308.25","-11.04","-1.72"
"SUPREMEIND","4,299.00","4,316.70","4,240.00","4,261.60","4,279.00","-","17.40","0.41","58,985","25.21","6,320.35","3,095.00","-0.50","-29.08"
"JSWENERGY","510.40","513.40","502.10","510.35","512.40","-","2.05","0.40","35,19,624","178.78","804.90","418.75","0.58","-29.38"
"EXIDEIND","382.90","389.30","380.60","382.90","384.45","-","1.55","0.40","22,76,640","87.54","585.50","328.00","-1.40","-32.28"
"SAILIFE","795.90","795.90","784.20","789.85","793.00","-","3.15","0.40","2,64,293","20.87","838.50","636.10","8.66","-"
"COFORGE","1,943.00","1,953.00","1,923.70","1,938.30","1,945.80","-","7.50","0.39","8,59,326","166.85","2,005.36","1,110.21","13.11","-66.93"
"CONCOR","597.00","606.50","595.00","745.25","598.50","-","2.30","0.39","23,51,859","141.10","860.00","481.00","-25.51","-41.93"
"MAHABANK","57.44","57.75","56.82","57.19","57.41","-","0.22","0.38","1,47,06,449","84.28","70.80","42.00","1.91","-9.58"
"WELCORP","925.00","934.85","915.00","922.50","926.05","-","3.55","0.38","3,52,487","32.62","994.00","570.00","2.17","52.55"
"IDFCFIRSTB","78.15","78.45","77.16","77.66","77.95","-","0.29","0.37","3,01,98,806","235.19","82.10","52.46","15.39","-4.05"
"IRCTC","779.60","785.90","773.15","778.50","781.25","-","2.75","0.35","7,03,398","54.82","1,059.45","656.00","0.50","-22.35"
